Kode Pangan,Nama Pangan,Lemak,Karbohidrat,Serat,Natrium,Kalium,Keterangan,link
AP001,Nasi,0.3,39.8,0.2,0.01,0.38,"Nasi adalah makanan pokok yang umum dikonsumsi di banyak negara, terutama di Asia. Nasi adalah biji-bijian padi yang dimasak hingga menjadi butiran yang lembut dan memiliki tekstur kenyal. Nasi sering menjadi pendamping hidangan utama seperti daging, ikan, sayuran, atau hidangan berkuah.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP002,Nasi tim,0.4,26,0.5,0,0.239,Nasi tim adalah nasi yang dimasak dengan cara dikukus. Proses pengukusan ini membuat nasi menjadi lebih lembut dan memiliki tekstur yang sedikit lengket. Nasi tim biasanya disajikan dengan hidangan lauk-pauk atau sup.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP003,Tapai beras,0.3,22.4,0,0.26,0.02,"Tapai beras adalah makanan fermentasi yang terbuat dari beras ketan. Beras ketan direndam dalam air, kemudian dikukus dan dicampur dengan ragi untuk memulai proses fermentasi. Tapai beras memiliki rasa manis dan sedikit beralkohol. Biasanya dimakan sebagai makanan penutup atau digunakan sebagai bahan dalam hidangan lainnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP004,Tepung beras,0.5,80,2.4,0.05,2.41,"Tepung beras adalah jenis tepung yang terbuat dari beras yang telah digiling halus. Tepung beras sering digunakan dalam masakan Asia, terutama untuk membuat kue-kue, roti, atau adonan kulit seperti lumpia atau risoles. Tepung beras juga bisa digunakan sebagai bahan pengental dalam sup atau saus.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP005,Nasi Beras Merah,0.4,32.5,0.3,0.05,0.914,"Nasi beras merah adalah nasi yang dibuat dari beras merah yang masih memiliki kulit ari. Nasi ini memiliki warna merah kecoklatan dan memiliki nilai gizi yang lebih tinggi dibandingkan dengan nasi putih biasa karena mengandung serat, vitamin, dan mineral yang tinggi.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP006,Bihun,0.1,82.1,1.2,0.12,0.05,"Bihun adalah sejenis mie yang terbuat dari tepung beras. Bihun memiliki tekstur yang lembut dan biasanya digunakan dalam berbagai hidangan seperti sup, mie goreng, atau hidangan mie kuah.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP007,Bihun goreng instan,3.9,80.3,0,9.28,0,Bihun goreng instan adalah hidangan mie bihun yang telah dikeringkan dan diolah dalam bentuk instan. Hidangan ini mudah dan cepat disajikan dengan cara direndam dalam air panas dan ditambahkan dengan bumbu instan.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP008,Bihun Jagung,0.3,87.4,3,0.49,0.014,Bihun jagung adalah hidangan mie bihun yang terbuat dari tepung jagung. Bihun jagung memiliki warna kuning dan tekstur yang kenyal. Hidangan ini sering digunakan dalam hidangan mie kuah atau mie goreng.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP009,Nasi Jagung,0.5,79.5,6.2,0.02,0.304,"Nasi jagung adalah nasi yang dibuat dengan campuran jagung. Biasanya, jagung dihaluskan atau dihancurkan menjadi adonan dan dicampur dengan beras sebelum dimasak. Nasi jagung memiliki rasa yang sedikit manis dan tekstur yang lebih lembut.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP010,Jagung Muda Rebus,0.7,30.3,0.8,0.05,0.243,"Jagung muda rebus adalah jagung yang masih muda dan belum matang sepenuhnya. Biasanya direbus dan disajikan sebagai sayuran dalam hidangan seperti sup, tumis, atau salad.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
